Iteration,0,1,2,3,4,5,6,7,8,9
525,1,1,1,1,1,1,1,1,1,1
526,1,1,1,1,1,1,1,1,1,1
527,1,1,1,1,1,1,1,1,1,1
528,2,2,2,2,1,2,2,2,2,2
529,2,1,2,2,2,2,2,2,1,2
530,1,1,1,1,1,1,1,1,1,1
531,2,4,3,4,3,4,2,3,3,4
532,2,4,4,2,4,3,4,2,2,4
533,1,1,1,1,1,1,1,1,1,1
534,3,2,3,3,3,3,3,2,2,3
535,1,1,1,1,1,1,1,1,1,1
536,4,3,3,1,4,4,3,1,4,4
537,1,1,1,1,1,1,1,1,1,1
538,2,2,2,2,2,2,2,1,2,2
539,5,5,2,4,5,4,5,3,3,5
540,1,1,1,1,1,1,1,1,1,1
541,3,1,3,3,3,3,1,3,1,3
542,1,2,2,2,2,1,1,1,2,2
543,2,2,2,2,2,2,2,1,2,2
544,1,1,1,1,1,1,1,1,1,1
545,1,1,1,1,1,1,1,1,1,1
546,2,1,1,2,2,2,1,2,2,1
547,1,1,1,1,1,1,1,1,1,1
548,1,1,1,1,1,1,1,1,1,1
549,1,1,1,1,2,2,2,1,2,2
550,3,3,2,3,3,3,3,2,3,2
551,2,2,2,2,2,2,2,2,2,2
552,1,1,1,1,1,1,1,1,1,1
553,2,2,2,2,1,2,1,1,1,2
554,2,4,4,3,3,2,4,1,2,2
555,1,1,1,1,1,1,1,1,1,1
556,2,2,2,2,2,2,2,2,2,2
557,1,1,1,1,1,1,1,1,1,1
558,1,3,3,3,2,1,3,1,3,1
559,1,1,1,1,1,1,1,1,1,1
560,2,2,2,1,3,2,3,3,3,3
561,2,2,2,1,2,2,2,2,2,2
562,1,1,1,1,1,1,1,1,1,1
563,1,2,2,1,2,2,2,2,2,2
564,1,1,1,1,1,1,1,1,1,1
565,7,5,5,3,8,5,5,2,8,2
566,4,4,5,3,4,4,4,5,3,3
567,2,1,2,2,2,2,2,2,2,2
568,1,2,1,1,2,2,1,2,2,1
569,4,3,2,2,4,3,2,1,4,1
570,1,1,1,1,1,1,1,1,1,1
571,3,2,3,3,3,3,3,3,2,4
572,1,1,1,1,1,1,1,1,1,1
573,2,2,3,3,3,2,3,3,3,2
574,1,1,1,1,1,1,1,1,1,1
575,3,3,2,2,3,2,1,2,3,2
576,1,1,2,2,2,2,2,2,1,1
577,1,2,2,2,1,2,1,2,1,2
578,2,2,4,4,3,1,4,4,1,3
579,3,3,2,3,3,3,4,2,3,4
580,2,3,4,2,4,3,4,3,2,4
581,4,8,8,3,4,5,8,7,8,3
582,1,1,1,1,1,1,1,1,1,1
583,4,4,3,4,4,2,4,3,4,2
584,1,1,1,1,1,1,1,1,1,1
585,3,1,2,3,3,3,1,1,3,3
586,3,2,4,2,2,2,2,3,4,4
587,3,2,3,4,3,3,2,3,3,3
588,1,1,1,1,1,1,1,1,1,1
589,4,4,4,3,2,4,4,4,4,4
590,1,3,1,3,3,3,3,2,3,3
591,1,4,2,4,3,1,3,2,3,2
592,3,2,3,3,3,3,3,3,3,3
593,1,1,3,1,3,3,3,3,2,3
594,1,2,1,2,2,1,1,1,2,1
595,1,1,1,1,1,1,1,1,1,1
596,1,3,1,2,3,1,3,2,3,1
597,1,2,3,1,3,3,2,2,3,3
598,2,2,2,2,1,2,2,2,2,2
599,3,3,3,1,3,1,3,3,1,3
600,4,2,2,4,5,5,4,4,4,5
601,3,3,3,2,2,3,3,3,3,2
602,2,2,2,1,2,2,2,2,1,2
603,2,1,1,1,2,1,2,2,2,2
604,2,1,2,2,2,1,2,2,1,1
605,1,1,1,1,1,1,1,1,1,1
606,4,4,4,2,2,4,4,4,3,4
607,4,4,4,1,3,4,2,4,3,4
608,2,1,2,2,1,1,1,1,1,1
609,1,1,1,1,1,1,1,1,1,1
610,3,4,3,4,4,2,3,4,4,3
611,1,4,1,2,2,3,2,2,4,2
612,2,3,2,2,2,3,2,3,3,3
613,4,5,4,7,4,5,8,7,5,4
614,3,2,2,4,4,2,3,4,3,3
615,3,2,3,3,2,2,3,3,3,3
616,3,2,3,1,2,1,3,1,2,3
617,1,1,1,1,1,1,1,1,1,1
618,4,3,5,4,4,5,2,4,5,2
619,1,1,1,1,1,1,1,1,1,1
620,2,2,2,2,2,2,2,1,1,2
621,2,2,2,2,2,1,2,2,1,2
622,1,1,1,1,1,1,1,1,1,1
623,2,2,2,3,2,1,3,3,1,3
624,1,2,2,1,2,1,2,2,2,2
625,1,1,1,1,1,2,2,2,1,2
626,3,2,3,2,2,3,3,1,3,1
627,2,3,2,2,3,3,2,2,3,2
628,2,2,2,2,1,2,2,2,2,2
629,4,3,7,3,7,7,3,4,5,7
